_time,host,EventCode,user,src_ip,process,command_line,status,description
2025-09-10T09:04:40,WIN-DB01,4634,bob,10.0.0.12,outlook.exe,,OK,normal_activity
2025-09-10T09:04:45,WIN-DC01,4624,bob,10.0.0.12,explorer.exe,,OK,normal_activity
2025-09-10T09:04:50,WIN-DB01,4634,alice,10.0.0.5,outlook.exe,,OK,normal_activity
2025-09-10T09:04:55,WIN-WS01,4688,alice,10.0.0.12,winword.exe,,OK,normal_activity
2025-09-10T09:05:00,WIN-WS01,4634,bob,10.0.0.8,chrome.exe,,OK,normal_activity
2025-09-10T09:05:05,WIN-WS01,4624,itadmin,10.0.0.44,outlook.exe,,OK,normal_activity
2025-09-10T09:05:10,WIN-APP01,4634,eve,10.0.0.44,explorer.exe,,OK,normal_activity
2025-09-10T09:05:15,WIN-DC01,4624,bob,10.0.0.12,winword.exe,,OK,normal_activity
2025-09-10T09:05:20,WIN-DC01,4688,bob,10.0.0.12,explorer.exe,,OK,normal_activity
2025-09-10T09:05:25,WIN-DB01,4688,bob,10.0.0.8,chrome.exe,,OK,normal_activity
2025-09-10T09:05:30,WIN-WS02,4688,charles,10.0.0.44,outlook.exe,,OK,normal_activity
2025-09-10T09:05:35,WIN-APP01,4624,david,10.0.0.44,explorer.exe,,OK,normal_activity
2025-09-10T09:05:40,WIN-WS01,4624,david,10.0.0.12,winword.exe,,OK,normal_activity
2025-09-10T09:05:45,WIN-WS02,4624,david,10.0.0.12,chrome.exe,,OK,normal_activity
2025-09-10T09:05:50,WIN-WS01,4688,alice,10.0.0.8,explorer.exe,,OK,normal_activity
2025-09-10T09:05:55,WIN-WS01,4688,alice,10.0.0.5,outlook.exe,,OK,normal_activity
2025-09-10T09:06:00,WIN-WS02,4688,eve,10.0.0.12,winword.exe,,OK,normal_activity
2025-09-10T09:06:05,WIN-WS01,4688,charles,10.0.0.12,outlook.exe,,OK,normal_activity
2025-09-10T09:06:10,WIN-WS01,4688,bob,10.0.0.8,winword.exe,,OK,normal_activity
2025-09-10T09:06:15,WIN-DB01,4634,alice,10.0.0.44,explorer.exe,,OK,normal_activity
2025-09-10T09:06:20,WIN-WS01,4624,itadmin,10.0.0.5,winword.exe,,OK,normal_activity
2025-09-10T09:06:25,WIN-WS02,4624,eve,10.0.0.5,outlook.exe,,OK,normal_activity
2025-09-10T09:06:30,WIN-WS01,4688,david,10.0.0.44,winword.exe,,OK,normal_activity
2025-09-10T09:06:35,WIN-WS01,4688,charles,10.0.0.44,outlook.exe,,OK,normal_activity
2025-09-10T09:06:40,WIN-DC01,4624,itadmin,10.0.0.5,winword.exe,,OK,normal_activity
2025-09-10T09:06:45,WIN-DC01,4624,bob,10.0.0.5,explorer.exe,,OK,normal_activity
2025-09-10T09:06:50,WIN-DB01,4624,eve,10.0.0.8,outlook.exe,,OK,normal_activity
2025-09-10T09:06:55,WIN-DB01,4688,itadmin,10.0.0.5,chrome.exe,,OK,normal_activity
2025-09-10T09:07:00,WIN-DB01,4624,david,10.0.0.8,outlook.exe,,OK,normal_activity
2025-09-10T09:07:05,WIN-DC01,4688,charles,10.0.0.44,explorer.exe,,OK,normal_activity
2025-09-10T09:07:10,WIN-DB01,4688,david,10.0.0.8,outlook.exe,,OK,normal_activity
2025-09-10T09:07:15,WIN-WS02,4624,bob,10.0.0.44,outlook.exe,,OK,normal_activity
2025-09-10T09:07:20,WIN-APP01,4688,itadmin,10.0.0.12,chrome.exe,,OK,normal_activity
2025-09-10T09:07:25,WIN-DB01,4688,itadmin,10.0.0.5,chrome.exe,,OK,normal_activity
2025-09-10T09:07:30,WIN-APP01,4634,bob,10.0.0.12,winword.exe,,OK,normal_activity
2025-09-10T09:07:35,WIN-DC01,4688,david,10.0.0.8,explorer.exe,,OK,normal_activity
2025-09-10T09:07:40,WIN-WS01,4634,itadmin,10.0.0.44,winword.exe,,OK,normal_activity
2025-09-10T09:07:45,WIN-APP01,4688,david,10.0.0.44,outlook.exe,,OK,normal_activity
2025-09-10T09:07:50,WIN-DC01,4688,itadmin,10.0.0.5,winword.exe,,OK,normal_activity
2025-09-10T09:07:55,WIN-WS01,4634,charles,10.0.0.44,winword.exe,,OK,normal_activity
2025-09-10T09:08:00,WIN-WS02,4634,charles,10.0.0.12,outlook.exe,,OK,normal_activity
2025-09-10T09:08:05,WIN-WS01,4688,david,10.0.0.44,chrome.exe,,OK,normal_activity
2025-09-10T09:08:10,WIN-DC01,4688,alice,10.0.0.5,chrome.exe,,OK,normal_activity
2025-09-10T09:08:15,WIN-DC01,4624,alice,10.0.0.5,chrome.exe,,OK,normal_activity
2025-09-10T09:08:20,WIN-DC01,4688,alice,10.0.0.5,winword.exe,,OK,normal_activity
2025-09-10T09:08:25,WIN-WS02,4624,bob,10.0.0.8,winword.exe,,OK,normal_activity
2025-09-10T09:08:30,WIN-DC01,4688,charles,10.0.0.8,outlook.exe,,OK,normal_activity
2025-09-10T09:08:35,WIN-WS02,4688,eve,10.0.0.44,explorer.exe,,OK,normal_activity
2025-09-10T09:08:40,WIN-APP01,4634,alice,10.0.0.44,winword.exe,,OK,normal_activity
2025-09-10T09:08:45,WIN-APP01,4624,bob,10.0.0.12,explorer.exe,,OK,normal_activity
2025-09-10T09:08:50,WIN-WS01,4688,bob,10.0.0.12,winword.exe,,OK,normal_activity
2025-09-10T09:08:55,WIN-DC01,4634,david,10.0.0.44,outlook.exe,,OK,normal_activity
2025-09-10T09:09:00,WIN-APP01,4634,david,10.0.0.12,winword.exe,,OK,normal_activity
2025-09-10T09:09:05,WIN-WS01,4624,eve,10.0.0.5,winword.exe,,OK,normal_activity
2025-09-10T09:09:10,WIN-APP01,4624,charles,10.0.0.5,winword.exe,,OK,normal_activity
2025-09-10T09:09:15,WIN-WS02,4634,charles,10.0.0.12,explorer.exe,,OK,normal_activity
2025-09-10T09:09:20,WIN-WS02,4688,david,10.0.0.12,explorer.exe,,OK,normal_activity
2025-09-10T09:09:25,WIN-DC01,4688,bob,10.0.0.12,winword.exe,,OK,normal_activity
2025-09-10T09:09:30,WIN-DC01,4688,itadmin,10.0.0.8,winword.exe,,OK,normal_activity
2025-09-10T09:09:35,WIN-WS02,4634,david,10.0.0.8,outlook.exe,,OK,normal_activity
2025-09-10T09:09:40,WIN-APP01,4634,charles,10.0.0.8,chrome.exe,,OK,normal_activity
2025-09-10T09:09:45,WIN-APP01,4688,alice,10.0.0.44,winword.exe,,OK,normal_activity
2025-09-10T09:09:50,WIN-WS01,4634,itadmin,10.0.0.44,chrome.exe,,OK,normal_activity
2025-09-10T09:09:55,WIN-WS02,4634,alice,10.0.0.8,winword.exe,,OK,normal_activity
2025-09-10T09:10:00,WIN-DC01,4624,eve,10.0.0.12,outlook.exe,,OK,normal_activity
2025-09-10T09:10:05,WIN-APP01,4634,david,10.0.0.12,explorer.exe,,OK,normal_activity
2025-09-10T09:10:10,WIN-WS02,4624,bob,10.0.0.44,explorer.exe,,OK,normal_activity
2025-09-10T09:10:15,WIN-DC01,4624,eve,10.0.0.5,outlook.exe,,OK,normal_activity
2025-09-10T09:10:20,WIN-WS01,4624,david,10.0.0.5,explorer.exe,,OK,normal_activity
2025-09-10T09:10:25,WIN-APP01,4634,david,10.0.0.8,winword.exe,,OK,normal_activity
2025-09-10T09:10:30,WIN-WS01,4624,charles,10.0.0.12,explorer.exe,,OK,normal_activity
2025-09-10T09:10:35,WIN-DC01,4634,eve,10.0.0.44,winword.exe,,OK,normal_activity
2025-09-10T09:10:40,WIN-DB01,4634,david,10.0.0.8,explorer.exe,,OK,normal_activity
2025-09-10T09:10:45,WIN-DB01,4634,eve,10.0.0.5,explorer.exe,,OK,normal_activity
2025-09-10T09:10:50,WIN-WS02,4624,david,10.0.0.12,outlook.exe,,OK,normal_activity
2025-09-10T09:10:55,WIN-WS02,4688,david,10.0.0.12,winword.exe,,OK,normal_activity
2025-09-10T09:11:00,WIN-DC01,4634,bob,10.0.0.5,outlook.exe,,OK,normal_activity
2025-09-10T09:11:05,WIN-DC01,4634,charles,10.0.0.44,winword.exe,,OK,normal_activity
2025-09-10T09:11:10,WIN-DB01,4624,eve,10.0.0.8,outlook.exe,,OK,normal_activity
2025-09-10T09:11:15,WIN-DB01,4688,eve,10.0.0.8,explorer.exe,,OK,normal_activity
2025-09-10T09:11:20,WIN-DB01,4688,itadmin,10.0.0.12,explorer.exe,,OK,normal_activity
2025-09-10T09:11:25,WIN-DC01,4624,david,10.0.0.44,chrome.exe,,OK,normal_activity
2025-09-10T09:11:30,WIN-DC01,4624,itadmin,10.0.0.8,explorer.exe,,OK,normal_activity
2025-09-10T09:11:35,WIN-DB01,4624,eve,10.0.0.44,chrome.exe,,OK,normal_activity
2025-09-10T09:11:40,WIN-DC01,4634,eve,10.0.0.12,chrome.exe,,OK,normal_activity
2025-09-10T09:11:45,WIN-APP01,4634,alice,10.0.0.8,chrome.exe,,OK,normal_activity
2025-09-10T09:11:50,WIN-DB01,4634,alice,10.0.0.44,winword.exe,,OK,normal_activity
2025-09-10T09:11:55,WIN-WS01,4688,itadmin,10.0.0.44,winword.exe,,OK,normal_activity
2025-09-10T09:12:00,WIN-DC01,4634,alice,10.0.0.8,outlook.exe,,OK,normal_activity
2025-09-10T09:12:05,WIN-DC01,4634,alice,10.0.0.5,explorer.exe,,OK,normal_activity
2025-09-10T09:12:10,WIN-WS01,4688,bob,10.0.0.5,explorer.exe,,OK,normal_activity
2025-09-10T09:12:15,WIN-APP01,4688,itadmin,10.0.0.44,explorer.exe,,OK,normal_activity
2025-09-10T09:12:20,WIN-WS01,4634,david,10.0.0.44,explorer.exe,,OK,normal_activity
2025-09-10T09:12:25,WIN-APP01,4688,eve,10.0.0.8,explorer.exe,,OK,normal_activity
2025-09-10T09:12:30,WIN-WS01,4624,alice,10.0.0.5,chrome.exe,,OK,normal_activity
2025-09-10T09:12:35,WIN-WS02,4634,david,10.0.0.8,explorer.exe,,OK,normal_activity
2025-09-10T09:12:40,WIN-WS02,4624,david,10.0.0.44,chrome.exe,,OK,normal_activity
2025-09-10T09:12:45,WIN-APP01,4634,charles,10.0.0.8,chrome.exe,,OK,normal_activity
2025-09-10T09:12:50,WIN-WS01,4634,eve,10.0.0.44,explorer.exe,,OK,normal_activity
2025-09-10T09:12:55,WIN-WS01,4634,charles,10.0.0.5,chrome.exe,,OK,normal_activity
2025-09-10T09:13:00,WIN-DC01,4624,alice,10.0.0.12,outlook.exe,,OK,normal_activity
2025-09-10T09:13:05,WIN-DC01,4634,bob,10.0.0.5,chrome.exe,,OK,normal_activity
2025-09-10T09:13:10,WIN-APP01,4634,itadmin,10.0.0.5,explorer.exe,,OK,normal_activity
2025-09-10T09:13:15,WIN-APP01,4688,charles,10.0.0.8,explorer.exe,,OK,normal_activity
2025-09-10T09:13:20,WIN-WS01,4624,david,10.0.0.8,explorer.exe,,OK,normal_activity
2025-09-10T09:13:25,WIN-WS02,4634,bob,10.0.0.5,winword.exe,,OK,normal_activity
2025-09-10T09:13:30,WIN-APP01,4624,alice,10.0.0.5,outlook.exe,,OK,normal_activity
2025-09-10T09:13:35,WIN-APP01,4634,david,10.0.0.5,chrome.exe,,OK,normal_activity
2025-09-10T09:13:40,WIN-DB01,4634,alice,10.0.0.8,explorer.exe,,OK,normal_activity
2025-09-10T09:13:45,WIN-DC01,4624,david,10.0.0.44,outlook.exe,,OK,normal_activity
2025-09-10T09:13:50,WIN-APP01,4624,eve,10.0.0.8,winword.exe,,OK,normal_activity
2025-09-10T09:13:55,WIN-DC01,4624,alice,10.0.0.5,winword.exe,,OK,normal_activity
2025-09-10T09:14:00,WIN-WS02,4688,charles,10.0.0.8,outlook.exe,,OK,normal_activity
2025-09-10T09:14:05,WIN-APP01,4634,charles,10.0.0.12,chrome.exe,,OK,normal_activity
2025-09-10T09:14:10,WIN-APP01,4634,alice,10.0.0.5,chrome.exe,,OK,normal_activity
2025-09-10T09:14:15,WIN-DC01,4634,itadmin,10.0.0.44,winword.exe,,OK,normal_activity
2025-09-10T09:14:20,WIN-DC01,4624,eve,10.0.0.44,outlook.exe,,OK,normal_activity
2025-09-10T09:14:25,WIN-WS01,4634,david,10.0.0.5,winword.exe,,OK,normal_activity
2025-09-10T09:14:30,WIN-WS02,4634,charles,10.0.0.44,chrome.exe,,OK,normal_activity
2025-09-10T09:14:35,WIN-APP01,4624,itadmin,10.0.0.44,explorer.exe,,OK,normal_activity
2025-09-10T09:14:40,WIN-APP01,4624,charles,10.0.0.5,chrome.exe,,OK,normal_activity
2025-09-10T09:14:45,WIN-WS02,4634,eve,10.0.0.5,winword.exe,,OK,normal_activity
2025-09-10T09:14:50,WIN-DB01,4624,itadmin,10.0.0.8,chrome.exe,,OK,normal_activity
2025-09-10T09:14:55,WIN-WS01,4624,alice,10.0.0.8,outlook.exe,,OK,normal_activity
2025-09-10T09:15:00,WIN-WS01,4634,itadmin,10.0.0.44,explorer.exe,,OK,normal_activity
2025-09-10T09:15:05,WIN-WS01,4624,bob,10.0.0.44,outlook.exe,,OK,normal_activity
2025-09-10T09:15:10,WIN-WS01,4624,bob,10.0.0.5,chrome.exe,,OK,normal_activity
2025-09-10T09:15:15,WIN-DC01,4634,itadmin,10.0.0.44,winword.exe,,OK,normal_activity
2025-09-10T09:15:20,WIN-WS01,4688,itadmin,10.0.0.44,explorer.exe,,OK,normal_activity
2025-09-10T09:15:25,WIN-WS01,4688,bob,10.0.0.12,chrome.exe,,OK,normal_activity
2025-09-10T09:15:30,WIN-WS02,4634,eve,10.0.0.44,winword.exe,,OK,normal_activity
2025-09-10T09:15:35,WIN-DB01,4634,itadmin,10.0.0.44,chrome.exe,,OK,normal_activity
2025-09-10T09:15:40,WIN-APP01,4688,bob,10.0.0.5,explorer.exe,,OK,normal_activity
2025-09-10T09:15:45,WIN-WS02,4688,charles,10.0.0.5,winword.exe,,OK,normal_activity
2025-09-10T09:15:50,WIN-WS02,4634,david,10.0.0.12,explorer.exe,,OK,normal_activity
2025-09-10T09:15:55,WIN-WS01,4688,eve,10.0.0.12,outlook.exe,,OK,normal_activity
2025-09-10T09:16:00,WIN-DC01,4624,itadmin,10.0.0.12,outlook.exe,,OK,normal_activity
2025-09-10T09:16:05,WIN-APP01,4688,itadmin,10.0.0.5,chrome.exe,,OK,normal_activity
2025-09-10T09:16:10,WIN-APP01,4624,alice,10.0.0.8,winword.exe,,OK,normal_activity
2025-09-10T09:16:15,WIN-APP01,4634,david,10.0.0.12,winword.exe,,OK,normal_activity
2025-09-10T09:16:20,WIN-WS01,4624,bob,10.0.0.5,explorer.exe,,OK,normal_activity
2025-09-10T09:16:25,WIN-DC01,4688,bob,10.0.0.12,winword.exe,,OK,normal_activity
2025-09-10T09:16:30,WIN-DB01,4624,alice,10.0.0.44,winword.exe,,OK,normal_activity
2025-09-10T09:16:35,WIN-DB01,4688,itadmin,10.0.0.44,chrome.exe,,OK,normal_activity
2025-09-10T09:16:40,WIN-DC01,4688,eve,10.0.0.8,winword.exe,,OK,normal_activity
2025-09-10T09:16:45,WIN-DB01,4634,eve,10.0.0.8,chrome.exe,,OK,normal_activity
2025-09-10T09:16:50,WIN-DB01,4634,charles,10.0.0.5,winword.exe,,OK,normal_activity
2025-09-10T09:16:55,WIN-DB01,4634,bob,10.0.0.8,winword.exe,,OK,normal_activity
2025-09-10T09:17:00,WIN-APP01,4688,itadmin,10.0.0.12,explorer.exe,,OK,normal_activity
2025-09-10T09:17:05,WIN-DB01,4688,charles,10.0.0.8,winword.exe,,OK,normal_activity
2025-09-10T09:17:10,WIN-DB01,4688,eve,10.0.0.12,explorer.exe,,OK,normal_activity
2025-09-10T09:17:15,WIN-WS02,4624,bob,10.0.0.12,winword.exe,,OK,normal_activity
2025-09-10T09:17:20,WIN-APP01,4688,alice,10.0.0.8,winword.exe,,OK,normal_activity
2025-09-10T09:17:25,WIN-DC01,4688,eve,10.0.0.5,outlook.exe,,OK,normal_activity
2025-09-10T09:17:30,WIN-APP01,4624,alice,10.0.0.44,explorer.exe,,OK,normal_activity
2025-09-10T09:17:35,WIN-WS02,4624,bob,10.0.0.12,explorer.exe,,OK,normal_activity
2025-09-10T09:17:40,WIN-DC01,4688,alice,10.0.0.12,chrome.exe,,OK,normal_activity
2025-09-10T09:17:45,WIN-DC01,4624,alice,10.0.0.44,winword.exe,,OK,normal_activity
2025-09-10T09:17:50,WIN-DC01,4688,alice,10.0.0.44,explorer.exe,,OK,normal_activity
2025-09-10T09:17:55,WIN-APP01,4624,itadmin,10.0.0.12,explorer.exe,,OK,normal_activity
2025-09-10T09:18:00,WIN-WS02,4624,charles,10.0.0.44,outlook.exe,,OK,normal_activity
2025-09-10T09:18:05,WIN-WS02,4634,alice,10.0.0.8,explorer.exe,,OK,normal_activity
2025-09-10T09:18:10,WIN-WS01,4634,eve,10.0.0.8,outlook.exe,,OK,normal_activity
2025-09-10T09:18:15,WIN-DC01,4688,bob,10.0.0.12,explorer.exe,,OK,normal_activity
2025-09-10T09:18:20,WIN-WS02,4624,bob,10.0.0.5,chrome.exe,,OK,normal_activity
2025-09-10T09:18:25,WIN-DB01,4634,itadmin,10.0.0.12,outlook.exe,,OK,normal_activity
2025-09-10T09:18:30,WIN-DC01,4624,bob,10.0.0.5,winword.exe,,OK,normal_activity
2025-09-10T09:18:35,WIN-APP01,4688,eve,10.0.0.8,outlook.exe,,OK,normal_activity
2025-09-10T09:18:40,WIN-APP01,4624,alice,10.0.0.44,winword.exe,,OK,normal_activity
2025-09-10T09:18:45,WIN-DC01,4634,alice,10.0.0.44,winword.exe,,OK,normal_activity
2025-09-10T09:18:50,WIN-DB01,4688,alice,10.0.0.12,chrome.exe,,OK,normal_activity
2025-09-10T09:18:55,WIN-DB01,4634,david,10.0.0.12,outlook.exe,,OK,normal_activity
2025-09-10T09:19:00,WIN-DC01,4624,charles,10.0.0.5,chrome.exe,,OK,normal_activity
2025-09-10T09:19:05,WIN-APP01,4624,david,10.0.0.12,outlook.exe,,OK,normal_activity
2025-09-10T09:19:10,WIN-APP01,4688,bob,10.0.0.8,outlook.exe,,OK,normal_activity
2025-09-10T09:19:15,WIN-WS02,4634,itadmin,10.0.0.44,winword.exe,,OK,normal_activity
2025-09-10T09:19:20,WIN-DC01,4634,charles,10.0.0.8,chrome.exe,,OK,normal_activity
2025-09-10T09:19:25,WIN-DB01,4688,eve,10.0.0.12,chrome.exe,,OK,normal_activity
2025-09-10T09:19:30,WIN-WS01,4688,bob,10.0.0.12,explorer.exe,,OK,normal_activity
2025-09-10T09:19:35,WIN-DC01,4634,eve,10.0.0.44,chrome.exe,,OK,normal_activity
2025-09-10T09:19:40,WIN-WS01,4624,charles,10.0.0.44,winword.exe,,OK,normal_activity
2025-09-10T09:19:45,WIN-DB01,4624,eve,10.0.0.12,explorer.exe,,OK,normal_activity
2025-09-10T09:19:50,WIN-DB01,4634,david,10.0.0.44,explorer.exe,,OK,normal_activity
2025-09-10T09:19:55,WIN-DB01,4624,david,10.0.0.12,chrome.exe,,OK,normal_activity
2025-09-10T09:20:00,WIN-WS02,4634,alice,10.0.0.5,explorer.exe,,OK,normal_activity
2025-09-10T09:20:05,WIN-DC01,4688,david,10.0.0.8,chrome.exe,,OK,normal_activity
2025-09-10T09:20:10,WIN-DB01,4624,eve,10.0.0.5,explorer.exe,,OK,normal_activity
2025-09-10T09:20:15,WIN-APP01,4688,alice,10.0.0.5,winword.exe,,OK,normal_activity
2025-09-10T09:20:20,WIN-WS01,4634,david,10.0.0.5,explorer.exe,,OK,normal_activity
2025-09-10T09:20:25,WIN-WS02,4624,itadmin,10.0.0.12,chrome.exe,,OK,normal_activity
2025-09-10T09:20:30,WIN-WS01,4624,david,10.0.0.8,explorer.exe,,OK,normal_activity
2025-09-10T09:20:35,WIN-DC01,4624,bob,10.0.0.12,winword.exe,,OK,normal_activity
2025-09-10T09:20:40,WIN-WS02,4624,eve,10.0.0.5,winword.exe,,OK,normal_activity
2025-09-10T09:20:45,WIN-APP01,4624,charles,10.0.0.8,explorer.exe,,OK,normal_activity
2025-09-10T09:20:50,WIN-DC01,4634,eve,10.0.0.44,winword.exe,,OK,normal_activity
2025-09-10T09:20:55,WIN-APP01,4634,bob,10.0.0.8,chrome.exe,,OK,normal_activity
2025-09-10T09:21:00,WIN-DB01,4624,bob,10.0.0.44,explorer.exe,,OK,normal_activity
2025-09-10T09:21:05,WIN-DB01,4634,bob,10.0.0.44,winword.exe,,OK,normal_activity
2025-09-10T09:21:10,WIN-DC01,4634,itadmin,10.0.0.5,winword.exe,,OK,normal_activity
2025-09-10T09:21:15,WIN-DC01,4688,alice,10.0.0.5,winword.exe,,OK,normal_activity
2025-09-10T09:21:20,WIN-WS01,4624,alice,10.0.0.12,explorer.exe,,OK,normal_activity
2025-09-10T09:21:25,WIN-DB01,4624,charles,10.0.0.12,winword.exe,,OK,normal_activity
2025-09-10T09:21:30,WIN-DC01,4624,charles,10.0.0.44,winword.exe,,OK,normal_activity
2025-09-10T09:21:35,WIN-WS01,4688,eve,10.0.0.8,outlook.exe,,OK,normal_activity
2025-09-10T09:21:40,WIN-WS02,4688,eve,10.0.0.44,outlook.exe,,OK,normal_activity
2025-09-10T09:21:45,WIN-WS02,4634,alice,10.0.0.8,chrome.exe,,OK,normal_activity
2025-09-10T09:21:50,WIN-DB01,4634,david,10.0.0.8,explorer.exe,,OK,normal_activity
2025-09-10T09:21:55,WIN-WS01,4624,charles,10.0.0.44,chrome.exe,,OK,normal_activity
2025-09-10T09:22:00,WIN-WS01,4624,charles,10.0.0.5,winword.exe,,OK,normal_activity
2025-09-10T09:22:05,WIN-DC01,4634,charles,10.0.0.5,outlook.exe,,OK,normal_activity
2025-09-10T09:22:10,WIN-DB01,4688,eve,10.0.0.8,winword.exe,,OK,normal_activity
2025-09-10T09:22:15,WIN-WS01,4688,itadmin,10.0.0.8,outlook.exe,,OK,normal_activity
